id_ruta;nombre;codigo;recorrido;fecha;sistema;tipo;empresa;longitud
90057;BLANQUIZAL;246;ORIGEN_DESTINO;2020-04-01;2A;DIRECTA CENTRO;COOTRANSBLAN;17773.769343186847
90061;BLANQUIZAL CALAZANÍA;246C;ORIGEN_DESTINO;2020-04-01;2A;DIRECTA CENTRO;COOTRANSBLAN;14964.2111147933
90059;BLANQUIZAL CALAZANÍA DIRECTA;246D;ORIGEN_DESTINO;2024-08-27;2A;DIRECTA CENTRO;COOTRANSBLAN;17778.26574053717
90063;BLANQUIZAL INTEGRADA;246I;ORIGEN_DESTINO;2024-08-27;2A;INTEGRADA;COOTRANSBLAN;9830.676424171208
90064;BLANQUIZAL INTEGRADA;246II;ORIGEN_DESTINO;2024-08-27;2A;INTEGRADA;COOTRANSBLAN;9354.884198800955
90353;BOQUERON CENTRO HORARIO ESPECIAL;255 V3 HOR ESP;ORIGEN_DESTINO;2024-08-27;2A;DIRECTA CENTRO;RÁPIDO SAN CRISTÓBAL;39163.48326319405
90097;BRISAS;260BR;ORIGEN_DESTINO;2024-08-27;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;14608.176353540037
90173;BUENOS AIRES;96;ORIGEN_DESTINO;2020-07-13;6A;DIRECTA CENTRO;FLOTA LA V;21840.42937046237
90174;BUENOS AIRES;096 HORARIO ESP;ORIGEN_DESTINO;2020-07-13;6A;DIRECTA CENTRO;FLOTA LA V;24874.614158782017
90267;CAICEDO;93;ORIGEN_DESTINO;2024-08-27;6H;DIRECTA CENTRO;COPATRA;11568.450081129591
90266;CAICEDO LA TOMA;93;ORIGEN_DESTINO;2024-08-27;6H;DIRECTA CENTRO;COPATRA;11160.074220358354
90268;CAICEDO LA TOMA MINORISTA;93;ORIGEN_DESTINO;2024-08-27;6H;DIRECTA CENTRO;COPATRA;13549.230838506575
90220;CAMPO VALDÉS CENTRO;51-52 CV-C;ORIGEN_DESTINO;2024-08-27;6C;DIRECTA CENTRO;EXPRESO CAMPO VALDÉS;13382.78400567616
90222;CAMPO VALDÉS FERROCARRIL;51-52 CV-F;ORIGEN_DESTINO;2024-08-27;6C;DIRECTA CENTRO;EXPRESO CAMPO VALDÉS;12959.480282666567
90223;CAMPO VALDÉS ORIENTAL;51-52 CV-O;ORIGEN_DESTINO;2024-08-27;6C;DIRECTA CENTRO;EXPRESO CAMPO VALDÉS;12842.58050433802
90224;CAMPO VALDÉS SAN DIEGO;51-52 CV-SD;ORIGEN_DESTINO;2024-08-27;6C;DIRECTA CENTRO;EXPRESO CAMPO VALDÉS;16842.15771699654
90128;CARABOBO - AV. DE GREIFF;ANILLO 1 CARRERA 65;ORIGEN_DESTINO;2024-08-27;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;16145.275295367768
90135;CARABOBO - AV. GREIFF;ANILLO 1 CARRERA 73;ORIGEN_DESTINO;2024-08-27;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;13215.32697100685
90315;CASETA;227I-C;ORIGEN_DESTINO;2024-08-27;8A;INTEGRADA;METROSAN;4885.477353638738
90115;CASTILLITA;265;ORIGEN_DESTINO;2020-03-10;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;17683.46230398104
90175;CAUCES-QUINTALINDA;97;ORIGEN_DESTINO;2024-08-27;6A;DIRECTA CENTRO;FLOTA LA V;21864.335104211023
90176;CAUCES-QUINTALINDA;97;ORIGEN_DESTINO;2024-08-27;6A;DIRECTA CENTRO;FLOTA LA V;23669.69132088393
90180;CERROS DE QUINTALINDA;99;ORIGEN_DESTINO;2024-08-27;6A;DIRECTA CENTRO;COOPCERQUIN;14602.45966348263
90181;CERROS DE QUINTALINDA;099 HORARIO ESP;ORIGEN_DESTINO;2024-08-27;6A;DIRECTA CENTRO;COOPCERQUIN;16150.173400519108
90005;CIRCULAR;300;ORIGEN_DESTINO;2022-03-28;CIRCULAR COONATRA 300, 301, 310, 311;CIRCULAR;COONATRA;27561.262302622294
90006;CIRCULAR;301;ORIGEN_DESTINO;2024-11-05;CIRCULAR COONATRA 300, 301, 310, 311;CIRCULAR;COONATRA;28390.45731852789
90367;CIRCULAR;300 DIR-80;ORIGEN_DESTINO;2024-08-27;CIRCULAR COONATRA 300, 301, 310, 311;CIRCULAR;COONATRA;26054.31764248133
90369;CIRCULAR;301 DIR-80;ORIGEN_DESTINO;2024-08-27;CIRCULAR COONATRA 300, 301, 310, 311;CIRCULAR;COONATRA;26939.34272740428
90002;CIRCULAR 286;286;ORIGEN_DESTINO;2024-08-27;CIRCULAR 286;CIRCULAR;COMBUSES;12713.834662593474
90015;CIRCULAR 315;315;ORIGEN_DESTINO;2022-03-28;CIRCULAR 315 Y 316;CIRCULAR;SANTRA;16697.544855487904
90016;CIRCULAR 316;316;ORIGEN_DESTINO;2022-03-28;CIRCULAR 315 Y 316;CIRCULAR;SANTRA;17307.397732524943
90001;CIRCULAR DERECHA 303;303;ORIGEN_DESTINO;2018-08-01;CIRCULAR DERECHA 303;CIRCULAR;COONATRA;20830.08024991056
90003;CIRCULAR IZQUIERDA 302;302;ORIGEN_DESTINO;2024-01-11;CIRCULAR IZQUIERDA 302;CIRCULAR;AUTOBUSES POBLADO LAURELES;21009.775709131547
90094;CLÍNICA;260CL;ORIGEN_DESTINO;2024-08-27;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;17053.637489882673
90308;COLINAS;225I-2;ORIGEN_DESTINO;2024-08-27;8A;INTEGRADA;METROSAN;3494.6744460078085
90009;COMERCIAL HOTELERA DERECHA;304;ORIGEN_DESTINO;2022-03-28;CIRCULAR 304, 305, 308, 308D, 309, 309D;CIRCULAR;INVETRANS;36146.60536182623
90010;COMERCIAL HOTELERA IZQUIERDA;305;ORIGEN_DESTINO;2018-08-01;CIRCULAR 304, 305, 308, 308D, 309, 309D;CIRCULAR;INVETRANS;35542.931486107074
90316;CONQUISTADORES;228I;ORIGEN_DESTINO;2024-08-27;8A;INTEGRADA;METROSAN;3874.211386617976
90300;CORAZÓN-ORIENTAL;203 CORAZÓN;ORIGEN_DESTINO;2018-08-01;8A;DIRECTA CENTRO;CONDUCCIONES AMÉRICA;19958.88560669192
90294;CORAZÓN-PLAZA MINORISTA;201B;ORIGEN_DESTINO;2021-03-11;8A;DIRECTA CENTRO;CONDUCCIONES AMÉRICA;23168.79170515752
90095;CÓRDOBA;260C;ORIGEN_DESTINO;2024-08-27;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;16233.106106558656
90310;DEPÓSITO;226I-D;ORIGEN_DESTINO;2024-08-27;8A;INTEGRADA;METROSAN;4165.950594384385
90108;DERECHA CASTILLA - ESTACIÓN UNIVERSIDAD;261I DER;ORIGEN_DESTINO;2018-08-01;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;10911.799533650332
90126;DERECHA - CIRCULAR NOROCCIDENTAL;306B;ORIGEN_DESTINO;2024-08-27;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;15766.910665923431
90090;DERECHA VEREDA BOQUERÓN - PARQUE SAN CRISTÓBAL;255V3;ORIGEN_DESTINO;2024-08-27;2A;DIRECTA NO CENTRO;RÁPIDO SAN CRISTÓBAL;20513.872451992826
90007;DIRECTA CIRCULAR;310;ORIGEN_DESTINO;2021-11-11;CIRCULAR COONATRA 300, 301, 310, 311;CIRCULAR;COONATRA;19864.96128752154
90008;DIRECTA CIRCULAR;311;ORIGEN_DESTINO;2021-11-11;CIRCULAR COONATRA 300, 301, 310, 311;CIRCULAR;COONATRA;28118.299470909944
90252;EL FARO;105;ORIGEN_DESTINO;2024-08-27;6F;DIRECTA CENTRO;COOTRANSMALLAT;11776.916540487322
90136;EL HUECO - PARQUE BERRÍO;ANILLO 2 CARRERA 73;ORIGEN_DESTINO;2024-08-27;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;15227.944713574489
90238;EL JARDÍN;069;ORIGEN_DESTINO;2024-08-27;6E;DIRECTA CENTRO;COOPETRANSA;16185.085317150995
90351;EL LLANO;255I;ORIGEN_DESTINO;2024-08-27;2A;INTEGRADA;RÁPIDO SAN CRISTÓBAL;11921.304859216434
90298;EL MORRO-TRAVESÍAS-CORAZÓN-SANTA LUCÍA;202I;ORIGEN_DESTINO;2018-08-01;8A;INTEGRADA;CONDUCCIONES AMÉRICA;12032.928768457312
90330;EL PATIO-ESTACIÓN SAN JAVIER;C23I;ORIGEN_DESTINO;2024-08-27;8A;INTEGRADA;TAX MAYA;22502.74675479764
90193;EL SALVADOR;111;ORIGEN_DESTINO;2024-08-27;6A;DIRECTA CENTRO;FLOTA LA MILAGROSA;13582.065189856658
90343;EL SALVADOR BARRIO NACIONAL;111;ORIGEN_DESTINO;2024-08-27;6A;DIRECTA CENTRO;FLOTA LA MILAGROSA;12312.465006972365
90191;EL SALVADOR DERECHO;111;ORIGEN_DESTINO;2024-08-27;6A;DIRECTA CENTRO;FLOTA LA MILAGROSA;13692.167886909576
90110;ESTACIÓN TRICENTENARIO;261II;ORIGEN_DESTINO;2024-08-27;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;10580.161770547238
90286;ESTADIO-BOLIVARIANA-LAURELES;193I;ORIGEN_DESTINO;2021-10-19;8A;INTEGRADA;AUTOBUSES POBLADO LAURELES;12443.925422421398
90287;ESTADIO-LAURELES SANTA TERESITA;193II;ORIGEN_DESTINO;2021-10-19;8A;INTEGRADA;AUTOBUSES POBLADO LAURELES;13859.267067944162
90099;ÉXITO;267;ORIGEN_DESTINO;2024-08-27;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;23741.32245271245
90292;ÉXITO CORAZÓN;201;ORIGEN_DESTINO;2021-10-19;8A;DIRECTA CENTRO;CONDUCCIONES AMÉRICA;21301.939114036395
90293;ÉXITO CORAZÓN;201;ORIGEN_DESTINO;2021-10-19;8A;DIRECTA CENTRO;CONDUCCIONES AMÉRICA;21637.32995564564
90218;FERROCARRIL MINORISTA;37 - 39;ORIGEN_DESTINO;2020-07-13;6C;DIRECTA CENTRO;AUTOCOL;22736.988777356928
90119;FLORENCIA;281;ORIGEN_DESTINO;2024-08-27;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;21656.20274697688
90122;FLORENCIA-ESTACIÓN ACEVEDO;283I;ORIGEN_DESTINO;2024-08-27;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;9926.012492631256
90322;FLORESTA;243I;ORIGEN_DESTINO;2024-08-27;8A;INTEGRADA;COONATRA;7113.797057215656
90323;FLORESTA DIRECTA;243ID;ORIGEN_DESTINO;2024-08-27;8A;INTEGRADA;COONATRA;5077.9980971496425
90317;FLORESTA ESTADIO-ORIENTAL;240;ORIGEN_DESTINO;2021-10-19;8A;DIRECTA CENTRO;CONDUCCIONES AMÉRICA;19771.777539959672
90313;GABRIELA;227I-B;ORIGEN_DESTINO;2024-08-27;8A;INTEGRADA;METROSAN;3161.2500108630898
90247;GOLONDRINAS;105;ORIGEN_DESTINO;2024-08-27;6F;DIRECTA CENTRO;COOTRANSMALLAT;11041.71663478285
90250;GOLONDRINAS HORARIO ESPECIAL;105;ORIGEN_DESTINO;2024-08-27;6F;DIRECTA CENTRO;COOTRANSMALLAT;7682.607996292291
90251;GOLONDRINAS HORARIO NOCTURNO;105;ORIGEN_DESTINO;2024-08-27;6F;DIRECTA CENTRO;COOTRANSMALLAT;10739.736363672537
90249;GOLONDRINAS - MINORISTA;105;ORIGEN_DESTINO;2024-08-27;6F;DIRECTA CENTRO;COOTRANSMALLAT;11038.687637759564
90116;GRATAMIRA-ESTACIÓN ACEVEDO;270I;ORIGEN_DESTINO;2024-08-27;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;6388.161050512897
90217;HUECO;37 - 39;ORIGEN_DESTINO;2020-07-13;6C;DIRECTA CENTRO;AUTOCOL;19703.8390766202
90109;IZQUIERDA CASTILLA - ESTACIÓN UNIVERSIDAD;261I IZQ;ORIGEN_DESTINO;2018-08-01;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;12706.698550758876
90125;IZQUIERDA - CIRCULAR NOROCCIDENTAL;306A;ORIGEN_DESTINO;2024-08-27;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;20172.66114259838
90091;IZQUIERDA VEREDA BOQUERÓN - PARQUE SAN CRISTÓBAL;255V3;ORIGEN_DESTINO;2024-08-27;2A;DIRECTA NO CENTRO;RÁPIDO SAN CRISTÓBAL;20087.677436313406
90075;KENNEDY;252;ORIGEN_DESTINO;2021-10-19;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;20768.5627393172
90329;LA ASOMADERA-ESTACIÓN SAN JAVIER;C23I;ORIGEN_DESTINO;2024-08-27;8A;INTEGRADA;TAX MAYA;21928.207938326508
90335;LA CRUZ;085 L C;ORIGEN_DESTINO;2024-08-27;6D;DIRECTA CENTRO;COOTRACOVI;14226.498450411946
90349;LA CUCHILLA;255V5;ORIGEN_DESTINO;2024-08-27;2A;DIRECTA NO CENTRO;RÁPIDO SAN CRISTÓBAL;13261.848302199029
90318;LA DIVISA;242;ORIGEN_DESTINO;2020-05-11;8A;DIRECTA CENTRO;COONATRA;17628.006310200883
90320;LA DIVISA;243;ORIGEN_DESTINO;2020-05-11;8A;DIRECTA CENTRO;COONATRA;22460.869221868103
90235;LA ESPERANZA;56;ORIGEN_DESTINO;2018-08-01;6E;DIRECTA CENTRO;COOTRANSCOL;18021.429543261045
90202;LA FRANCIA;6;ORIGEN_DESTINO;2021-03-11;6B;DIRECTA CENTRO;TRANSCONOR;17181.210601193066
90232;LA HONDA;085;ORIGEN_DESTINO;2024-08-27;6D;DIRECTA CENTRO;COOTRACOVI;15068.530507512132
90337;LA HONDA MINORISTA;085 L H MINO;ORIGEN_DESTINO;2024-08-27;6D;DIRECTA CENTRO;COOTRACOVI;16216.441001979112
90071;LA HUERTA;250AH;ORIGEN_DESTINO;2024-08-27;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;22084.04070386552
90188;LA MILAGROSA;110;ORIGEN_DESTINO;2024-08-27;6A;DIRECTA NO CENTRO;FLOTA LA MILAGROSA;11305.428195258097
90331;LA PALMA-ESTACIÓN SAN JAVIER;C23I;ORIGEN_DESTINO;2024-08-27;8A;INTEGRADA;TAX MAYA;21364.554472524025
90319;LA QUIEBRA;242;ORIGEN_DESTINO;2020-05-11;8A;DIRECTA CENTRO;COONATRA;18314.61935618428
90321;LA QUIEBRA;243;ORIGEN_DESTINO;2020-05-11;8A;DIRECTA CENTRO;COONATRA;22063.22406239305
90093;LAS FLORES-MORAVIA-CENTRO;255A;ORIGEN_DESTINO;2020-03-10;2A;DIRECTA CENTRO;RÁPIDO SAN CRISTÓBAL;35635.27748438067
90195;LAS PALMAS;112;ORIGEN_DESTINO;2024-08-27;6A;DIRECTA CENTRO;COPATRA;7203.389893329504
90347;LAS PLAYAS;255V4;ORIGEN_DESTINO;2024-08-27;2A;DIRECTA NO CENTRO;RÁPIDO SAN CRISTÓBAL;9338.308240224276
90332;LAS PLAYAS-ESTACIÓN SAN JAVIER;C23I;ORIGEN_DESTINO;2024-08-27;8A;INTEGRADA;TAX MAYA;21117.543464474824
90290;LAURELES CAMPESTRE-ESTACIÓN SANTA LUCÍA - ESTACIÓN FLORESTA;195II;ORIGEN_DESTINO;2021-10-19;8A;INTEGRADA;TAX MAYA;10293.89830088059
90283;LAURELES ÉXITO;191;ORIGEN_DESTINO;2021-10-19;8A;DIRECTA CENTRO;AUTOBUSES POBLADO LAURELES;19303.686196759973
90284;LAURELES NOGAL # 1;192;ORIGEN_DESTINO;2022-03-28;8A;DIRECTA CENTRO;AUTOBUSES POBLADO LAURELES;15487.079381918564
90285;LAURELES NOGAL # 2;193;ORIGEN_DESTINO;2021-10-19;8A;DIRECTA CENTRO;AUTOBUSES POBLADO LAURELES;18359.614207855266
90282;LAURELES PARQUE;190;ORIGEN_DESTINO;2021-10-19;8A;DIRECTA CENTRO;AUTOBUSES POBLADO LAURELES;18379.12699752645
90244;LLANADAS;91;ORIGEN_DESTINO;2024-08-27;6F;DIRECTA CENTRO;COPATRA;11106.80913340972
90296;LOS TANQUES-EL VOLCÁN-EL CORAZÓN-SAN JAVIER;201I;ORIGEN_DESTINO;2024-08-27;8A;INTEGRADA;CONDUCCIONES AMÉRICA;10836.48708324035
90074;MARGARITAS;251;ORIGEN_DESTINO;2024-08-27;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;21864.740076313166
90084;METROCABLE AURORA-CÁRCEL;255I;ORIGEN_DESTINO;2024-08-27;2A;INTEGRADA;RÁPIDO SAN CRISTÓBAL;10412.666208422595
90085;METROCABLE LA AURORA;255ID;ORIGEN_DESTINO;2024-08-27;2A;INTEGRADA;RÁPIDO SAN CRISTÓBAL;14955.116417639596
90276;MIRLAS;103;ORIGEN_DESTINO;2024-08-27;6H;DIRECTA CENTRO;COOTRANSI;19451.57956270794
90277;MIRLAS MINORISTA;103;ORIGEN_DESTINO;2024-08-27;6H;DIRECTA CENTRO;COOTRANSI;24434.6483141626
90072;MORAVIA;250M;ORIGEN_DESTINO;2018-08-01;2A;INTEGRADA;PALENQUE ROBLEDAL;20083.97770931307
90092;NUEVO OCCIDENTE EL TIROL;255A;ORIGEN_DESTINO;2024-08-27;2A;DIRECTA CENTRO;RÁPIDO SAN CRISTÓBAL;30317.430661066595
90081;NUEVO OCCIDENTE-LAS FLORES;255A;ORIGEN_DESTINO;2024-08-27;2A;DIRECTA CENTRO;RÁPIDO SAN CRISTÓBAL;33904.93247468663
90198;PABLO E.;113M;ORIGEN_DESTINO;2024-08-27;6A;DIRECTA CENTRO;FLOTA LA MILAGROSA;8235.82563720756
90187;PABLO ESCOBAR-CATALUÑA;102A;ORIGEN_DESTINO;2024-08-27;6A;DIRECTA NO CENTRO;COOTRANSCATALUÑA;9010.10517573426
90073;PAJARITO;250AP;ORIGEN_DESTINO;2021-10-19;2A;DIRECTA CENTRO;PALENQUE ROBLEDAL;26107.7049960068
90065;PAJARITO INTEGRADA;250AIP;ORIGEN_DESTINO;2024-08-27;2A;INTEGRADA;PALENQUE ROBLEDAL;4477.451984190895
90086;PALMITAS-CENTRO;255P;ORIGEN_DESTINO;2024-08-27;2A;DIRECTA CENTRO;RÁPIDO SAN CRISTÓBAL;53416.7118484144
90134;PARQUE LOS PERIODISTAS;ANILLO F3 CARRERA 65;ORIGEN_DESTINO;2024-08-27;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;17987.20632794402
90140;PARQUE LOS PERIODISTAS;ANILLO F3 CARRERA 73;ORIGEN_DESTINO;2020-05-11;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;16429.903275691133
90333;PEDREGAL BAJO-ESTACIÓN SAN JAVIER;C23I;ORIGEN_DESTINO;2024-08-27;8A;INTEGRADA;TAX MAYA;19377.24937706231
90312;PEÑITAS;227I-A;ORIGEN_DESTINO;2024-08-27;8A;INTEGRADA;METROSAN;5492.920755412485
90270;PERLAS;95;ORIGEN_DESTINO;2024-08-27;6H;DIRECTA CENTRO;COPATRA;14225.21122750152
90278;PERLAS;107;ORIGEN_DESTINO;2020-07-13;6H;DIRECTA CENTRO;COOTRANSVI;12260.058857728844
90271;PERLAS MINORISTA;95;ORIGEN_DESTINO;2024-08-27;6H;DIRECTA CENTRO;COPATRA;17260.827116515058
90357;PERLAS MINORISTA;107;ORIGEN_DESTINO;2024-08-27;6H;DIRECTA CENTRO;COOTRANSVI;21725.59889540666
90080;PICACHO;254;ORIGEN_DESTINO;2021-10-19;2A;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;22046.593930357307
90106;PILARICA;254IB_TV 73;ORIGEN_DESTINO;2024-08-27;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;10270.500254207367
90371;PILARICA;254IB_TV 75;ORIGEN_DESTINO;2024-08-27;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;9660.332924834604
90124;PILARICA CALLE 96;289;ORIGEN_DESTINO;2020-07-13;2B;DIRECTA CENTRO;TRANSPORTE MEDELLÍN CASTILLA;21370.637059137807
90105;PILARICA INTEGRADA;254I;ORIGEN_DESTINO;2024-08-27;2B;INTEGRADA;TRANSPORTE MEDELLÍN CASTILLA;9730.12361497152
90242;PINAL;90;ORIGEN_DESTINO;2024-08-27;6F;DIRECTA CENTRO;COPATRA;15368.61621212076
90239;PINAR TORRES;87;ORIGEN_DESTINO;2024-08-27;6F;DIRECTA CENTRO;COOTRANSPINAL;9729.823363818006
90241;PINAR TORRES;88;ORIGEN_DESTINO;2024-08-27;6F;DIRECTA CENTRO;COOTRANSPINAL;11991.78641514898
90240;PINAR TORRES HORARIO ESP;087 HORARIO ESP;ORIGEN_DESTINO;2024-08-27;6F;DIRECTA CENTRO;COOTRANSPINAL;13080.003317222752
90206;PLAYÓN DE LOS COMUNEROS;24;ORIGEN_DESTINO;2020-07-13;6B;DIRECTA CENTRO;TRANSPORTE ARANJUEZ SANTA CRUZ;10750.50165908178
90207;PLAYÓN DE LOS COMUNEROS - ORIENTAL;24;ORIGEN_DESTINO;2024-08-27;6B;DIRECTA CENTRO;TRANSPORTE ARANJUEZ SANTA CRUZ;18598.588130748547
90212;POPULAR CENTRO;031 P-C;ORIGEN_DESTINO;2024-08-27;6C;DIRECTA CENTRO;EXPRESO CAMPO VALDÉS;21527.87230146112
90215;POPULAR CENTRO SAN DIEGO;031 P-SD;ORIGEN_DESTINO;2024-08-27;6C;DIRECTA CENTRO;EXPRESO CAMPO VALDÉS;23733.094616857787
90214;POPULAR FERROCARRIL;031 P-F;ORIGEN_DESTINO;2024-08-27;6C;DIRECTA CENTRO;EXPRESO CAMPO VALDÉS;20959.444493804363
90205;POPULAR N° 1;23;ORIGEN_DESTINO;2024-08-27;6B;DIRECTA CENTRO;TRANSPORTE ARANJUEZ SANTA CRUZ;18281.149647993647
90179;QUINTALINDA-EL VERGEL;97;ORIGEN_DESTINO;2024-08-27;6A;DIRECTA NO CENTRO;FLOTA LA V;13399.65162213044
90311;QUINTAS;227I-1;ORIGEN_DESTINO;2024-08-27;8A;INTEGRADA;METROSAN;5163.284322701688
